
[PMH2004]|RAJ2000|DEJ2000|CFlux|Class
 |"h:m:s"|"d:m:s"|mW/m2|
---|-----------|-----------|---------|--------------------
124|01 33 15.04|+30 53 18.0| 1.06e-12|<hard>
125|01 33 16.09|+30 44 44.5| 3.62e-14|<hard>
126|01 33 16.24|+30 17 51.8| 1.18e-14|<hard>
127|01 33 16.36|+30 17 13.1| 1.99e-15|<hard>
129|01 33 17.56|+30 09 12.6| 5.01e-15|
130|01 33 17.64|+30 52 37.0| 1.47e-14|<hard>
131|01 33 18.36|+30 28 38.4| 1.68e-15|<hard>
132|01 33 18.65|+30 29 33.8| 2.66e-15|<hard>
133|01 33 18.78|+30 52 05.3| 4.82e-15|<hard>
134|01 33 18.86|+31 06 28.4| 1.16e-14|
135|01 33 19.52|+30 28 48.4| 9.28e-15|<hard>
136|01 33 19.78|+30 51 03.5| 1.78e-15|<hard>
137|01 33 21.10|+30 52 22.7| 5.45e-15|
139|01 33 21.84|+30 55 18.4| 5.42e-15|<hard>
140|01 33 21.93|+30 16 51.1| 1.13e-14|<hard>
141|01 33 22.02|+30 39 22.3| 3.05e-15|<hard>
143|01 33 23.63|+30 19 08.6| 3.06e-15|<hard>
145|01 33 23.79|+30 48 20.1| 1.03e-14|<hard>
146|01 33 23.86|+30 35 18.0| 6.66e-15|<hard>
147|01 33 24.31|+30 44 02.8| 5.13e-13|<hard>
148|01 33 24.36|+30 25 05.1| 1.38e-14|<hard>
149|01 33 24.73|+30 55 09.5| 1.55e-14|<hard>
151|01 33 25.47|+30 36 17.2| 4.43e-15|
154|01 33 28.54|+30 43 24.9| 2.67e-15|
155|01 33 28.63|+30 27 24.1| 1.63e-12|<hard>
157|01 33 28.86|+30 09 05.6| 5.80e-14|<hard>
159|01 33 29.19|+30 45 09.1| 2.14e-14|<hard>
162|01 33 29.64|+30 51 20.1| 3.08e-15|
163|01 33 30.57|+30 34 04.1| 1.80e-14|<hard>
165|01 33 31.98|+30 57 42.4| 1.57e-14|<hard>
166|01 33 32.12|+30 39 53.8| 3.26e-15|<hard>
167|01 33 32.70|+30 49 17.5| 5.50e-15|<hard>
168|01 33 33.70|+30 31 10.3| 8.22e-15|<hard>
169|01 33 33.79|+31 00 39.8| 4.16e-15|<hard>
171|01 33 34.08|+30 32 11.7| 6.82e-13|XRB
172|01 33 34.16|+30 37 14.8| 3.13e-15|<hard>
173|01 33 34.50|+30 10 42.0| 1.04e-14|<hard>
174|01 33 34.54|+30 35 55.0| 2.42e-15|<hard>
175|01 33 34.72|+30 17 45.0| 5.35e-15|<hard>
176|01 33 35.05|+30 49 30.2| 3.52e-15|<hard>
177|01 33 35.62|+30 26 33.5| 4.24e-15|<hard>
178|01 33 35.86|+30 33 32.0| 5.31e-15|<hard>
180|01 33 36.27|+30 37 42.0| 1.13e-14|<hard>
184|01 33 37.42|+30 21 05.7| 1.75e-15|<hard>
185|01 33 38.44|+30 27 50.5| 5.17e-15|<hard>
186|01 33 38.55|+30 28 52.6| 4.84e-15|<hard>
187|01 33 39.17|+30 40 51.1| 4.96e-15|<hard>
188|01 33 39.23|+30 53 48.7| 1.62e-14|<hard>
189|01 33 39.46|+30 21 40.5| 8.41e-15|<hard>
190|01 33 40.01|+30 43 22.5| 4.18e-15|<hard>
191|01 33 40.22|+31 04 16.8| 4.95e-15|<hard>
192|01 33 41.22|+30 56 09.1| 6.36e-15|<hard>
193|01 33 41.48|+30 41 35.2| 4.33e-15|<hard>
194|01 33 41.54|+30 32 19.8| 1.39e-14|<hard>
195|01 33 41.57|+30 10 56.3| 1.11e-14|<hard>
197|01 33 42.36|+30 42 53.7| 7.05e-15|<hard>
198|01 33 42.46|+30 57 50.7| 1.12e-14|<hard>
