17
0 0.0
1 0.014
2 0.229
3 0.602
4 0.787
5 0.849
6 0.901
8 0.945
10 0.962
15 0.974
20 0.977
30 0.979
40 0.979
50 0.980
60 0.980
80 0.980
100 0.980
