X [mm],Y [mm],dx [mm],dy [mm]
2.4756318661,4.6584070939,-0.0110757739,-0.0116493351
1.4921028028,4.6514442760,-0.0228582545,0.0055692321
0.5085737395,4.6444814580,-0.0053131635,0.0013198317
-0.4749553238,4.6375186400,-0.0057753327,-0.0171536888
-1.4584843871,4.6305558220,0.0086128222,-0.0128866040
-2.4420134504,4.6235930041,-0.0011935485,-0.0179407310
-3.4255425137,4.6166301861,0.0132656135,-0.0061623675
-4.4090715770,4.6096673681,0.0169730258,0.0183164917
-5.3926006403,4.6027045501,0.0184655322,0.0152751598
-6.3761297036,4.5957417322,0.0188375158,0.0231316814
-7.3596587669,4.5887789142,0.0602181615,0.0381364488
-8.3431878302,4.5818160962,0.1392294748,0.0759161261
-9.3267168935,4.5748532782,0.2320168485,0.0788152361
9.3991282206,3.7274541995,-0.2667781981,-0.0917194140
8.4155991573,3.7204913816,-0.0328766744,-0.0448761148
7.4320700940,3.7135285636,-0.0109498702,-0.0260775863
6.4485410307,3.7065657456,-0.0024133730,-0.0214075772
5.4650119674,3.6996029276,0.0041302780,-0.0101939768
4.4814829041,3.6926401097,-0.0037188109,0.0061022654
3.4979538408,3.6856772917,-0.0081645878,-0.0061017352
2.5144247775,3.6787144737,-0.0190082529,-0.0108432020
1.5308957142,3.6717516557,-0.0098308179,-0.0041554942
0.5473666510,3.6647888378,-0.0104867346,-0.0147677223
-0.4361624123,3.6578260198,0.0055560239,-0.0109260469
-1.4196914756,3.6508632018,-0.0044054682,-0.0052366157
-2.4032205389,3.6439003838,0.0056278609,0.0028859521
-3.3867496022,3.6369375659,0.0120847687,-0.0014711530
-4.3702786655,3.6299747479,-0.0056902505,0.0006332834
-5.3538077288,3.6230119299,0.0266214375,0.0009156316
-6.3373367921,3.6160491119,0.0392719782,0.0217835705
-7.3208658554,3.6090862940,0.0563875653,0.0471657872
-8.3043949187,3.6021234760,0.1309298069,0.0787852255
-9.2879239820,3.5951606580,0.2236630139,0.0939802419
9.4379211321,2.7477615793,-0.2910829608,-0.0612366290
8.4543920688,2.7407987614,-0.0366597444,-0.0289389926
7.4708630055,2.7338359434,-0.0026402519,-0.0165836933
6.4873339422,2.7268731254,0.0128768581,-0.0006452949
5.5038048789,2.7199103074,0.0051371384,-0.0049828679
4.5202758156,2.7129474895,0.0035684861,0.0077410824
3.5367467523,2.7059846715,-0.0116177474,-0.0045574233
2.5532176890,2.6990218535,-0.0268023572,0.0018562738
1.5696886257,2.6920590355,-0.0245506350,-0.0230496940
0.5861595624,2.6850962176,-0.0136726075,-0.0089212606
-0.3973695009,2.6781333996,-0.0081075233,-0.0275120488
-1.3808985642,2.6711705816,-0.0076107593,-0.0246843142
-2.3644276275,2.6642077636,-0.0044285792,-0.0140472924
-3.3479566908,2.6572449457,-0.0112788255,-0.0081422815
-4.3314857541,2.6502821277,-0.0003597122,0.0079835436
-5.3150148174,2.6433193097,0.0206967412,0.0150886009
-6.2985438807,2.6363564917,0.0267629408,0.0304032718
-7.2820729440,2.6293936738,0.0533103211,0.0448777002
-8.2656020073,2.6224308558,0.1277800047,0.0994167486
-9.2491310706,2.6154680378,0.2149808433,0.1109815927
9.4767140435,1.7680689591,-0.3169847283,-0.0271432713
8.4931849802,1.7611061411,-0.0465744568,-0.0113629373
7.5096559169,1.7541433232,-0.0014946997,0.0066079670
6.5261268536,1.7471805052,0.0041759385,0.0143077566
5.5425977903,1.7402176872,0.0028455772,0.0162198480
4.5590687270,1.7332548692,-0.0026197897,0.0065779524
3.5755396637,1.7262920513,-0.0175799535,0.0114217102
2.5920106004,1.7193292333,-0.0099890831,0.0021009682
1.6084815371,1.7123664153,-0.0245902489,-0.0100104666
0.6249524738,1.7054035973,-0.0138304175,-0.0164948737
-0.3585765895,1.6984407794,-0.0150422722,-0.0313890414
-1.3421056528,1.6914779614,0.0036696614,-0.0277511342
-2.3256347161,1.6845151434,0.0022722489,-0.0264464876
-3.3091637794,1.6775523254,0.0130737489,0.0015481472
-4.2926928427,1.6705895075,0.0146445324,0.0105505380
-5.2762219060,1.6636266895,0.0176950035,0.0073747279
-6.2597509693,1.6566638715,0.0228817670,0.0366857299
-7.2432800326,1.6497010535,0.0454983076,0.0623170669
-8.2268090959,1.6427382356,0.1147009501,0.1285431991
-9.2103381592,1.6357754176,0.1957747153,0.1364238215
9.5155069549,0.7883763389,-0.3393787468,0.0106037405
8.5319778916,0.7814135209,-0.0472247078,0.0196256928
7.5484488283,0.7744507030,-0.0120696940,0.0309867642
6.5649197650,0.7674878850,0.0020882414,0.0380455330
5.5813907017,0.7605250670,0.0033627818,0.0128193599
4.5978616384,0.7535622490,0.0037742057,0.0040977355
3.6143325751,0.7465994311,-0.0045076443,0.0046800022
2.6308035118,0.7396366131,-0.0097780248,-0.0102750142
1.6472744485,0.7326737951,-0.0137717999,-0.0077272998
0.6637453853,0.7257109771,-0.0139485088,-0.0127718178
-0.3197836780,0.7187481592,0.0032166515,-0.0232525835
-1.3033127413,0.7117853412,-0.0112129102,-0.0178913205
-2.2868418046,0.7048225232,-0.0007025698,-0.0111421830
-3.2703708679,0.6978597052,-0.0088620425,0.0117915166
-4.2538999312,0.6908968872,0.0184465564,0.0053368654
-5.2374289945,0.6839340693,0.0058587365,0.0256215703
-6.2209580578,0.6769712513,0.0105324898,0.0424693777
-7.2044871211,0.6700084333,0.0529971254,0.0697918916
-8.1880161844,0.6630456153,0.1149182617,0.1250461895
-9.1715452477,0.6560827974,0.1879349407,0.1650331139
9.5542998664,-0.1913162813,-0.3629427997,0.0162224632
8.5707708031,-0.1982790993,-0.0364663231,0.0374319398
7.5872417398,-0.2052419173,-0.0212668717,0.0482128413
6.6037126765,-0.2122047352,0.0153846807,0.0343042020
5.6201836132,-0.2191675532,0.0062548619,0.0428502488
4.6366545499,-0.2261303712,0.0006622524,0.0231356022
3.6531254866,-0.2330931892,-0.0024612199,0.0185165730
2.6695964233,-0.2400560071,-0.0107045074,0.0056988731
1.6860673600,-0.2470188251,-0.0097286715,-0.0068061703
0.7025382967,-0.2539816431,-0.0082784333,-0.0054158573
-0.2809907666,-0.2609444611,-0.0095213350,-0.0214930880
-1.2645198299,-0.2679072790,0.0028680800,-0.0302077483
-2.2480488932,-0.2748700970,0.0054647730,-0.0226689292
-3.2315779565,-0.2818329150,0.0034963462,-0.0042042672
-4.2151070198,-0.2887957330,-0.0042342776,-0.0105239214
-5.1986360831,-0.2957585509,0.0114628094,0.0313181168
-6.1821651464,-0.3027213689,0.0177176630,0.0487828710
-7.1656942097,-0.3096841869,0.0370554453,0.0853473324
-8.1492232730,-0.3166470049,0.0907762342,0.1454868596
-9.1327523363,-0.3236098228,0.1763027936,0.1820312039
9.5930927778,-1.1710089015,-0.3838423580,0.0343301598
8.6095637145,-1.1779717195,-0.0330722946,0.0489056898
7.6260346512,-1.1849345375,-0.0127281606,0.0449683072
6.6425055879,-1.1918973555,0.0140326336,0.0382994938
5.6589765246,-1.1988601734,0.0087875914,0.0217085549
4.6754474613,-1.2058229914,0.0074451715,0.0136856941
3.6919183980,-1.2127858094,0.0097817861,-0.0056692483
2.7083893347,-1.2197486274,-0.0044406302,-0.0025386549
1.7248602714,-1.2267114453,-0.0030044103,-0.0137536775
0.7413312081,-1.2336742633,-0.0148915841,-0.0124725431
-1.2257269185,-1.2475998993,0.0124304367,-0.0431724355
-2.2092559818,-1.2545627172,0.0005681899,-0.0366188235
-3.1927850451,-1.2615255352,0.0089379948,-0.0253015693
-4.1763141084,-1.2684883532,0.0059518534,-0.0020838703
-5.1598431717,-1.2754511712,0.0025515203,0.0068142524
-6.1433722350,-1.2824139891,-0.0010467898,0.0280363923
-7.1269012983,-1.2893768071,0.0349591834,0.0559123300
-8.1104303616,-1.2963396251,0.1027804833,0.1287611674
-9.0939594249,-1.3033024431,0.1614013425,0.1787181537
9.6318856892,-2.1507015217,-0.4047573651,0.0693860477
8.6483566259,-2.1576643397,-0.0515257161,0.0797693348
7.6648275626,-2.1646271577,-0.0089547741,0.0730994944
6.6812984993,-2.1715899757,0.0071380034,0.0544337273
5.6977694360,-2.1785527936,0.0114128612,0.0351536836
4.7142403727,-2.1855156116,0.0074064233,0.0261819712
3.7307113094,-2.1924784296,-0.0093643458,0.0113373858
2.7471822461,-2.1994412476,-0.0102767822,0.0048778457
1.7636531828,-2.2064040655,0.0000585148,-0.0167058722
0.7801241196,-2.2133668835,-0.0182267345,-0.0243759100
-0.2034049437,-2.2203297015,0.0057820541,-0.0403964343
-1.1869340070,-2.2272925195,-0.0152426143,-0.0390621931
-2.1704630703,-2.2342553374,-0.0112180466,-0.0219926328
-3.1539921336,-2.2412181554,-0.0058372217,-0.0225631949
-4.1375211969,-2.2481809734,-0.0023239418,-0.0102798352
-5.1210502602,-2.2551437914,-0.0020392326,0.0179957018
-6.1045793235,-2.2621066093,0.0000612115,0.0345752903
-7.0881083868,-2.2690694273,0.0192983140,0.0688716034
-8.0716374501,-2.2760322453,0.0960507608,0.1392305323
-9.0551665134,-2.2829950633,0.1592564933,0.2071173300
9.6706786007,-3.1303941420,-0.4261269347,0.0864983474
8.6871495374,-3.1373569599,-0.0240722021,0.1146356237
7.7036204741,-3.1443197779,-0.0043449464,0.0999181696
6.7200914108,-3.1512825959,0.0059143888,0.0785283951
5.7365623475,-3.1582454139,0.0337416338,0.0420760084
4.7530332842,-3.1652082318,-0.0023291892,0.0322536644
3.7695042209,-3.1721710498,0.0007363478,0.0075330776
2.7859751576,-3.1791338678,-0.0036939402,-0.0055211616
1.8024460943,-3.1860966858,0.0086688616,-0.0058638759
0.8189170310,-3.1930595037,0.0010846364,-0.0266383353
-0.1646120323,-3.2000223217,-0.0011120841,-0.0337542649
-1.1481410956,-3.2069851397,-0.0056121951,-0.0294856075
-2.1316701589,-3.2139479577,-0.0192619580,-0.0280025213
-3.1151992222,-3.2209107756,-0.0149951485,-0.0253181639
-4.0987282855,-3.2278735936,-0.0152055881,-0.0237553992
-5.0822573488,-3.2348364116,-0.0131601011,0.0074274128
-6.0657864121,-3.2417992296,-0.0156686594,0.0372974203
-7.0493154754,-3.2487620475,0.0189102478,0.0848301612
-8.0328445387,-3.2557248655,0.0640575087,0.1589266422
-9.0163736020,-3.2626876835,0.1434730926,0.2283747576
9.7094715121,-4.1100867622,-0.4412347491,0.0873133320
8.7259424488,-4.1170495801,-0.0377949560,0.1137781407
7.7424133855,-4.1240123981,-0.0024524476,0.0997349567
6.7588843222,-4.1309752161,0.0202481819,0.0759538600
5.7753552589,-4.1379380341,0.0273473593,0.0480309625
4.7918261956,-4.1449008520,0.0321060664,0.0407272568
3.8082971323,-4.1518636700,0.0075014939,0.0140318258
2.8247680690,-4.1588264880,-0.0101757269,0.0150885223
1.8412390057,-4.1657893060,0.0055150960,-0.0124959825
0.8577099424,-4.1727521239,-0.0182025514,-0.0259256296
-0.1258191209,-4.1797149419,0.0045000025,-0.0394909581
-1.1093481842,-4.1866777599,-0.0039438232,-0.0227021833
-2.0928772475,-4.1936405779,-0.0167846151,-0.0291657726
-3.0764063108,-4.2006033958,-0.0171311657,-0.0091083489
-4.0599353741,-4.2075662138,-0.0208037861,-0.0151293025
-5.0434644374,-4.2145290318,-0.0346258607,0.0095208287
-6.0269935007,-4.2214918498,-0.0210537549,0.0422458065
-7.0105225640,-4.2284546677,-0.0041324264,0.0797497423
-7.9940516273,-4.2354174857,0.0723536357,0.1527186422
-8.9775806906,-4.2423803037,0.1317526036,0.2399420649
9.7482644235,-5.0897793824,-0.4548107098,0.1015565714
8.7647353602,-5.0967422004,-0.0206720999,0.1409059595
7.7812062969,-5.1037050183,0.0049603039,0.0958794449
6.7976772336,-5.1106678363,0.0300666866,0.0856069687
5.8141481703,-5.1176306543,0.0377811595,0.0574344856
4.8306191070,-5.1245934723,0.0365805337,0.0343646140
3.8470900437,-5.1315562902,0.0316226494,0.0341891883
2.8635609804,-5.1385191082,0.0108103153,0.0060829285
1.8800319171,-5.1454819262,0.0102016353,-0.0010994140
0.8965028539,-5.1524447442,0.0011569785,-0.0234399361
-0.0870262094,-5.1594075621,0.0103696915,-0.0361239055
-1.0705552727,-5.1663703801,-0.0006362685,-0.0196281498
-2.0540843360,-5.1733331981,-0.0116557130,-0.0008119970
-3.0376133993,-5.1802960161,-0.0075362688,-0.0210016694
-4.0211424626,-5.1872588340,-0.0133824737,0.0002352288
-5.0046715259,-5.1942216520,-0.0179925327,0.0095813587
-5.9882005892,-5.2011844700,-0.0295373842,0.0368094874
-6.9717296525,-5.2081472880,-0.0123670252,0.0699776372
-7.9552587158,-5.2151101059,0.0537885054,0.1295429279
-8.9387877791,-5.2220729239,0.1249117052,0.2244280654
9.7870573350,-6.0694720026,-0.4709407345,0.0984894007
8.8035282717,-6.0764348206,-0.0236140890,0.1293809335
7.8199992084,-6.0833976385,0.0192221493,0.0875363498
6.8364701451,-6.0903604565,0.0381574749,0.0767553856
5.8529410818,-6.0973232745,0.0390461621,0.0548662695
4.8694120185,-6.1042860925,0.0343336011,0.0242270511
3.8858829552,-6.1112489104,0.0214472417,0.0232867142
2.9023538919,-6.1182117284,0.0287437452,0.0159476950
1.9188248286,-6.1251745464,0.0238852147,0.0030480482
0.9352957653,-6.1321373644,0.0080007867,-0.0175454833
-0.0482332980,-6.1391001823,0.0140927215,-0.0198353360
-1.0317623613,-6.1460630003,0.0015676765,-0.0223268865
-2.0152914246,-6.1530258183,-0.0051893668,-0.0282101974
-2.9988204879,-6.1599886363,-0.0169149273,-0.0214697791
-3.9823495512,-6.1669514542,-0.0138869061,-0.0161651477
-4.9658786145,-6.1739142722,-0.0239807773,-0.0025850870
-5.9494076778,-6.1808770902,-0.0424505790,0.0255789329
-6.9329367411,-6.1878399082,-0.0083252158,0.0514218588
-7.9164658044,-6.1948027261,0.0466127838,0.1221665658
-8.8999948677,-6.2017655441,0.1113996318,0.2126260983
9.8258502464,-7.0491646228,-0.4729231822,0.1190983191
8.8423211831,-7.0561274408,-0.0082817512,0.1201218234
7.8587921198,-7.0630902588,0.0409785579,0.0680636183
6.8752630565,-7.0700530767,0.0506036812,0.0536064546
5.8917339932,-7.0770158947,0.0476403543,0.0360292251
4.9082049299,-7.0839787127,0.0562295823,0.0289416280
3.9246758666,-7.0909415307,0.0400126854,0.0277913701
2.9411468033,-7.0979043486,0.0322375220,0.0220540117
1.9576177400,-7.1048671666,0.0215508313,0.0027324298
0.9740886767,-7.1118299846,0.0302273462,-0.0147614935
-0.0094403866,-7.1187928026,0.0295114854,-0.0083886676
-0.9929694499,-7.1257556205,0.0066408373,-0.0180998272
-1.9764985132,-7.1327184385,0.0206873388,-0.0017277776
-2.9600275765,-7.1396812565,0.0174838776,-0.0118437146
-3.9435566398,-7.1466440745,0.0057704054,-0.0060892462
-4.9270857031,-7.1536068924,0.0006347743,0.0074240195
-5.9106147664,-7.1605697104,-0.0201299035,0.0270886617
-6.8941438297,-7.1675325284,0.0070006257,0.0493045336
-7.8776728930,-7.1744953464,0.0477459736,0.1138661538
-8.8612019563,-7.1814581643,0.1094384981,0.1876265390
9.8646431578,-8.0288572430,-0.4031772190,0.2267747369
8.8811140945,-8.0358200610,0.0546487741,0.1793689479
7.8975850312,-8.0427828790,0.0910355316,0.1309216777
6.9140559679,-8.0497456969,0.1121744889,0.1148846736
5.9305269046,-8.0567085149,0.1283357699,0.1090816152
4.9469978413,-8.0636713329,0.1124721117,0.0932463036
3.9634687780,-8.0706341509,0.0923200898,0.0927952638
2.9799397147,-8.0775969688,0.0969071235,0.0885114448
1.9964106514,-8.0845597868,0.0856865939,0.0876109479
1.0128815882,-8.0915226048,0.0873517705,0.0687375869
0.0293525249,-8.0984854228,0.0926384335,0.0692842317
-0.9541765384,-8.1054482407,0.0720907623,0.0587072479
-1.9377056017,-8.1124110587,0.0867326021,0.0667179395
-2.9212346650,-8.1193738767,0.0660931792,0.0671704224
-3.9047637283,-8.1263366947,0.0766902757,0.0658035203
-4.8882927916,-8.1332995127,0.0606863377,0.0856220059
-5.8718218549,-8.1402623306,0.0516331179,0.0806315751
-6.8553509182,-8.1472251486,0.0375483363,0.1094570993
-7.8388799815,-8.1541879666,0.0733394550,0.1409949867
-8.8224090448,-8.1611507846,0.1136637243,0.2001162821
9.9034360693,-9.0085498632,-0.3418133095,0.2664546445
8.9199070060,-9.0155126812,0.1004839199,0.1858801826
7.9363779427,-9.0224754992,0.1402232935,0.1599657241
6.9528488794,-9.0294383172,0.1453411657,0.1650865912
5.9693198161,-9.0364011351,0.1473819066,0.1667813841
4.9857907528,-9.0433639531,0.1464872124,0.1603082859
4.0022616895,-9.0503267711,0.1428155616,0.1563758666
3.0187326262,-9.0572895891,0.1258609936,0.1554793761
2.0352035629,-9.0642524070,0.1213795149,0.1519890941
1.0516744996,-9.0712152250,0.1348828145,0.1454177478
0.0681454363,-9.0781780430,0.1367788929,0.1448882058
-0.9153836270,-9.0851408610,0.1202293328,0.1529292056
-1.8989126903,-9.0921036789,0.1332245593,0.1483964838
-2.8824417536,-9.0990664969,0.1157594975,0.1542451408
-3.8659708169,-9.1060293149,0.1279877703,0.1371399943
-4.8494998802,-9.1129921329,0.1284335896,0.1549790955
-5.8330289435,-9.1199549508,0.1050779007,0.1465699252
-6.8165580068,-9.1269177688,0.0928238711,0.1669582736
-7.8000870701,-9.1338805868,0.0988190447,0.1707278794
-8.7836161334,-9.1408434048,0.0902931222,0.1987863889
9.9422289807,-9.9882424835,-0.3118424769,0.3978959749
8.9586999174,-9.9952053014,-0.0275611684,0.4552239416
7.9751708541,-10.0021681194,-0.0155406330,0.4897935860
6.9916417908,-10.0091309374,0.0168679872,0.5181912568
6.0081127275,-10.0160937554,0.0474402836,0.5242931199
5.0245836642,-10.0230565733,0.0312367891,0.5282336352
4.0410546009,-10.0300193913,0.0265404477,0.5332647066
3.0575255376,-10.0369822093,0.0364065270,0.5378285318
2.0739964743,-10.0439450273,0.0384332346,0.5395759873
1.0904674110,-10.0509078452,0.0365865570,0.5421608813
0.1069383477,-10.0578706632,0.0485501691,0.5492259441
-0.8765907156,-10.0648334812,0.0463561094,0.5660920732
-1.8601197789,-10.0717962992,0.0399971002,0.5682502296
-2.8436488422,-10.0787591171,0.0548847524,0.5703155472
-3.8271779055,-10.0857219351,0.0331364594,0.5850071404
-4.8107069688,-10.0926847531,0.0362509400,0.5836471403
-5.7942360321,-10.0996475711,0.0445561714,0.5796788356
-6.7777650954,-10.1066103890,0.0348343451,0.5779740091
-7.7612941587,-10.1135732070,0.0381623821,0.5752471444
-8.7448232220,-10.1205360250,0.0374899690,0.5489200779
