fileformatversion,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
version,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,Ideal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,"Reformatted ideal (static) orientations and alignments of the components. This is where the components start out on orbit, and could be different from the values measured on ground.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
step size,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
night,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
step,type,Inertial-SC,,,,SC-FB,,,,FB-FPM0,,,,FB-FPM1,,,,FB-MD0,,,,FB-MD1,,,,FB-AS0,,,,FB-AS1,,,,FB-OB,,,,OB-OM0,,,,OB-OM1,,,,OB-ML0,,,,OB-ML1,,,,OB-ST,,,
6,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-5.2435069,154.31408,10545.873,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
       6,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00048490715,  -0.00051143311,  -9.1247967e-05,      0.99999975,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
7,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-5.2606874,154.31780,10545.873,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
       7,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00048454431,  -0.00051310239,  -8.8248597e-05,      0.99999975,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
8,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-5.2840931,154.32054,10545.873,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
       8,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00048427961,  -0.00051537427,  -8.8749565e-05,      0.99999975,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
9,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-5.3154941,154.32182,10545.873,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
       9,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00048415752,  -0.00051842058,  -9.2750977e-05,      0.99999975,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
10,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-5.3493363,154.32308,10545.873,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
      10,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00048403670,  -0.00052170412,  -9.6252492e-05,      0.99999975,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
11,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-5.3852840,154.33151,10545.873,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
      11,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00048322090,  -0.00052519237,  -9.9253759e-05,      0.99999975,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
12,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-5.4230017,154.33277,10545.873,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
      12,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00048309963,  -0.00052885260,  -0.00010175546,      0.99999974,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
13,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-5.4622452,154.33380,10545.873,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
      13,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00048300183,  -0.00053266119,  -0.00010375724,      0.99999974,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
14,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-5.4921508,154.33480,10545.873,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
      14,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00048290544,  -0.00053556331,  -0.00010575860,      0.99999974,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
15,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-5.5445466,154.33583,10545.873,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
      15,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00048280780,  -0.00054064866,  -0.00010776099,      0.99999974,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
16,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-5.5707597,154.33633,10545.873,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
      16,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00048275973,  -0.00054319281,  -0.00010876219,      0.99999974,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
17,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-5.6245897,154.30895,10545.873,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
      17,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00048541702,  -0.00054841878,  -0.00010726618,      0.99999973,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
18,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-5.6517794,154.30821,10545.873,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
      18,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00048548906,  -0.00055105893,  -0.00010576750,      0.99999973,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
19,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-5.6789690,154.30744,10545.873,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
      19,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00048556257,  -0.00055369907,  -0.00010426882,      0.99999973,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
20,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-5.7061586,154.28007,10545.873,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
      20,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00048821955,  -0.00055633895,  -0.00010277157,      0.99999973,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
21,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-5.7335313,154.27904,10545.873,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
