fileformatversion,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
version,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,Ideal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,"Reformatted ideal (static) orientations and alignments of the components. This is where the components start out on orbit, and could be different from the values measured on ground.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
step size,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
night,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
step,type,Inertial-SC,,,,SC-FB,,,,FB-FPM0,,,,FB-FPM1,,,,FB-MD0,,,,FB-MD1,,,,FB-AS0,,,,FB-AS1,,,,FB-OB,,,,OB-OM0,,,,OB-OM1,,,,OB-ML0,,,,OB-ML1,,,,OB-ST,,,
0,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-0.33524086,155.89413,10545.876,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
       0,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00033146318,  -3.5145317e-05,   0.00041098836,      0.99999988,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
1,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-0.35062165,155.90837,10545.876,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
       1,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00033008075,  -3.6635524e-05,   0.00040398792,      0.99999989,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
2,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-0.36707058,155.92325,10545.876,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
       2,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00032863605,  -3.8229741e-05,   0.00039798746,      0.99999989,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
3,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-0.38585407,155.93829,10545.876,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
       3,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00032717501,  -4.0050434e-05,   0.00039148693,      0.99999989,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
4,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-0.40533946,155.95339,10545.876,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
       4,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00032570948,  -4.1939606e-05,   0.00038598636,      0.99999989,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
5,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-0.42621340,155.96839,10545.876,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
       5,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00032425283,  -4.3963428e-05,   0.00037998578,      0.99999989,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
6,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-0.44798760,155.98302,10545.876,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
       6,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00032283170,  -4.6074835e-05,   0.00037448514,      0.99999989,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
7,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-0.47089094,155.99709,10545.876,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
       7,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00032146536,  -4.8295888e-05,   0.00036898448,      0.99999989,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
8,v,0,0,0,,0,-539.04,327.91,,-254,393.6238,149.1958,,254,393.5476,149.1958,,-399.4404,674.0144,0,,399.4404,674.0144,0,,-254,393.6238,982.1958,,254,393.5476,982.1958,,-0.49351960,156.00744,10545.876,,-254.0508,234.3912,-244.5258,,253.9238,234.3912,-244.5258,,-399.4658,514.7056,-183.5658,,399.415,514.7056,-183.5658,,3.175,428.0292524,262.3520879,
       8,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00032046035,  -5.0491387e-05,   0.00036648383,      0.99999989,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
